"PVWatts Hourly PV Performance Data"
"Requested Location","300 alumni drive"
"Location","Lat, Lng: 38.01, -84.5"
"Latitude (DD)","38.01"
"Longitude (DD)","-84.50"
"Elevation (m)","302.79998779297"
"DC System Size (kW)","8"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","21","5","0","0","0","2","0.14","0","0","0","0"
"4","21","6","262","39","1","2.5","0.14","43.566","1.886","230.861","190.972"
"4","21","7","606","82","3","3.2","0.14","252.211","7.836","1675.539","1584.459"
"4","21","8","766","105","6","3.6","0.14","499.935","15.229","3585.11","3426.367"
"4","21","9","845","123","9","3.5","0.14","728.878","22.63","5046.524","4835.997"
"4","21","10","885","138","11","3","0.14","911.445","29.44","6092.294","5844.711"
"4","21","11","901","149","12","2.7","0.14","1021.175","33.732","6671.967","6403.845"
"4","21","12","899","158","13","2.5","0.14","1071.216","36.623","6900.109","6623.902"
"4","21","13","330","415","13","2.5","0.14","750.225","29.5","4943","4736.141"
"4","21","14","445","323","13","2.4","0.14","733.171","29.458","4864.905","4660.814"
"4","21","15","525","232","12","2.3","0.14","632.014","26.496","4280.887","4097.49"
"4","21","16","541","159","12","2","0.14","463.032","23.301","3203.752","3058.522"
"4","21","17","642","71","11","1.5","0.14","286.525","18.665","1891.679","1792.941"
"4","21","18","254","58","8","1.2","0.14","76.011","10.079","424.722","377.964"
"4","21","19","0","0","6","1.2","0.14","0","6","0","0"
"4","21","20","0","0","5","1.4","0.14","0","5","0","0"
"4","21","21","0","0","5","1.4","0.14","0","5","0","0"
"4","21","22","0","0","4","1.4","0.14","0","4","0","0"
"4","21","23","0","0","4","1.5","0.14","0","4","0","0"
"4","22","0","0","0","3","1.6","0.14","0","3","0","0"
"4","22","1","0","0","3","1.5","0.14","0","3","0","0"
"4","22","2","0","0","3","1.6","0.14","0","3","0","0"
"4","22","3","0","0","4","1.7","0.14","0","4","0","0"
"4","22","4","0","0","4","1.7","0.14","0","4","0","0"
"4","22","5","0","0","4","1.7","0.14","0","4","0","0"
"4","22","6","252","40","6","2.3","0.14","44.676","6.948","234.696","194.671"
"4","22","7","561","87","8","2.8","0.14","245.512","13.043","1606.921","1518.273"
"4","22","8","709","116","11","2.7","0.14","483.121","21.34","3383.771","3232.162"
"4","22","9","787","139","14","2.4","0.14","706.374","29.926","4753.531","4553.386"
"4","22","10","832","154","16","1.9","0.14","882.952","37.917","5709.04","5475.037"
"4","22","11","861","160","17","1.3","0.14","1001.709","45.35","6247.855","5994.76"
"4","22","12","254","450","18","0.9","0.14","719.738","40.402","4529.147","4336.953"
"4","22","13","456","362","19","1","0.14","826.513","44.115","5152.041","4937.775"
"4","22","14","198","399","19","1.1","0.14","575.813","36.054","3696.384","3533.698"
"4","22","15","807","136","19","1.2","0.14","746.823","40.707","4808.748","4606.646"
"4","22","16","733","118","18","1.2","0.14","531.817","33.5","3553.972","3396.332"
"4","22","17","591","95","17","0.9","0.14","293.148","26.081","1891.339","1792.613"
"4","22","18","313","55","15","0.9","0.14","79.073","17.301","413.608","367.244"
"4","22","19","0","0","13","1.1","0.14","0","13","0","0"
"4","22","20","0","0","11","1.2","0.14","0","11","0","0"
"4","22","21","0","0","10","1.2","0.14","0","10","0","0"
"4","22","22","0","0","9","1.2","0.14","0","9","0","0"
"4","22","23","0","0","9","1.3","0.14","0","9","0","0"
"4","23","0","0","0","8","1.3","0.14","0","8","0","0"
"4","23","1","0","0","8","1.4","0.14","0","8","0","0"
"4","23","2","0","0","7","1.4","0.14","0","7","0","0"
"4","23","3","0","0","7","1.5","0.14","0","7","0","0"
"4","23","4","0","0","6","1.6","0.14","0","6","0","0"
"4","23","5","0","0","6","1.8","0.14","0","6","0","0"
"4","23","6","197","44","8","2.6","0.14","46.291","8.946","254.686","213.953"
"4","23","7","483","101","11","3.2","0.14","236.097","15.546","1543.147","1456.759"
"4","23","8","389","185","14","3.6","0.14","385.323","21.101","2675.858","2549.333"
"4","23","9","534","217","16","3.7","0.14","603.156","26.923","4085.938","3909.448"
"4","23","10","363","351","17","3.5","0.14","670.865","29.484","4446.873","4257.594"
"4","23","11","497","349","18","3.1","0.14","845.894","34.774","5478.522","5252.687"
"4","23","12","185","461","18","2.6","0.14","652.272","32.066","4232.87","4051.174"
"4","23","13","138","446","18","2.3","0.14","585.384","31.345","3805.431","3638.881"
"4","23","14","32","328","18","2.4","0.14","348.566","25.797","2295.367","2182.325"
"4","23","15","237","323","19","2.5","0.14","495.918","29.934","3283.515","3135.459"
"4","23","16","46","219","18","2.1","0.14","234.774","23.594","1573.389","1485.929"
"4","23","17","0","103","17","1.6","0.14","95.73","19.539","637.779","583.471"
"4","23","18","224","63","15","1.4","0.14","77.939","17.053","435.952","388.796"
"4","23","19","0","0","13","1.5","0.14","0","13","0","0"
"4","23","20","0","0","12","1.6","0.14","0","12","0","0"
"4","23","21","0","0","12","1.8","0.14","0","12","0","0"
"4","23","22","0","0","12","2","0.14","0","12","0","0"
"4","23","23","0","0","12","2.5","0.14","0","12","0","0"
"4","24","0","0","0","12","2.7","0.14","0","12","0","0"
"4","24","1","0","0","12","2.8","0.14","0","12","0","0"
"4","24","2","0","0","12","2.9","0.14","0","12","0","0"
"4","24","3","0","0","12","3","0.14","0","12","0","0"
"4","24","4","0","0","13","3.1","0.14","0","13","0","0"
"4","24","5","0","0","14","3.1","0.14","0","14","0","0"
"4","24","6","0","4","14","3.1","0.14","3.698","14.073","20.766","0"
"4","24","7","0","28","14","3.5","0.14","25.955","14.485","167.322","129.684"
"4","24","8","0","116","15","4.5","0.14","108.117","16.745","724.683","667.296"
"4","24","9","0","62","15","5.8","0.14","57.665","15.79","373.766","328.813"
"4","24","10","0","129","11","6.5","0.14","120.614","12.526","808.787","748.42"
"4","24","11","0","115","8","6.1","0.14","107.558","9.419","723.706","666.354"
"4","24","12","12","236","7","5.6","0.14","235.155","10.284","1616.627","1527.635"
"4","24","13","9","204","8","5.3","0.14","201.054","10.911","1374.03","1293.635"
"4","24","14","1","143","8","4.9","0.14","134.794","10.053","915.26","851.12"
"4","24","15","12","228","8","4.6","0.14","223.747","11.551","1547.751","1461.2"
"4","24","16","0","71","8","4","0.14","66","9.141","446.433","398.906"
"4","24","17","0","60","7","3","0.14","55.721","8.129","380.822","335.619"
"4","24","18","327","59","6","1.7","0.14","84.447","8.039","463.083","414.965"
"4","24","19","0","0","5","1.1","0.14","0","5","0","0"
"4","24","20","0","0","4","1","0.14","0","4","0","0"
"4","24","21","0","0","3","0.9","0.14","0","3","0","0"
"4","24","22","0","0","3","0.7","0.14","0","3","0","0"
"4","24","23","0","0","2","0.7","0.14","0","2","0","0"
"4","25","0","0","0","2","0.8","0.14","0","2","0","0"
"4","25","1","0","0","1","0.8","0.14","0","1","0","0"
"4","25","2","0","0","1","0.8","0.14","0","1","0","0"
"4","25","3","0","0","1","0.8","0.14","0","1","0","0"
"4","25","4","0","0","0","0.8","0.14","0","0","0","0"
"4","25","5","0","0","0","0.8","0.14","0","0","0","0"
"4","25","6","300","44","2","1","0.14","52.44","3.471","276.956","235.434"
"4","25","7","619","85","5","1.4","0.14","263.69","12.166","1736.764","1643.515"
"4","25","8","770","109","8","1.7","0.14","510.928","21.295","3585.105","3426.362"
"4","25","9","849","125","9","2.2","0.14","737.961","26.286","5035.47","4825.335"
"4","25","10","899","132","11","2.8","0.14","915.541","30.166","6100.291","5852.425"
"4","25","11","923","135","12","3.3","0.14","1030.411","31.82","6779.577","6507.641"
"4","25","12","918","143","13","3.6","0.14","1068.291","32.597","6990.335","6666.667"
"4","25","13","902","146","14","3.8","0.14","1032.348","32.38","6772.033","6500.365"
"4","25","14","236","398","14","3.9","0.14","607.678","24.633","4082.027","3905.676"
"4","25","15","451","265","14","3.7","0.14","609.04","25.017","4137.922","3959.59"
"4","25","16","12","189","13","3.2","0.14","183.827","16.593","1253.711","1177.578"
"4","25","17","584","101","12","2.3","0.14","297.33","18.753","1978.003","1876.206"
"4","25","18","305","60","10","1.5","0.14","83.412","12.114","455.897","408.034"
"4","25","19","0","0","8","1.3","0.14","0","8","0","0"
"4","25","20","0","0","7","1.5","0.14","0","7","0","0"
"4","25","21","0","0","6","1.5","0.14","0","6","0","0"
"4","25","22","0","0","4","1.4","0.14","0","4","0","0"
"4","25","23","0","0","3","1.2","0.14","0","3","0","0"
"4","26","0","0","0","2","1.1","0.14","0","2","0","0"
"4","26","1","0","0","2","1.1","0.14","0","2","0","0"
"4","26","2","0","0","2","1.1","0.14","0","2","0","0"
"4","26","3","0","0","2","1","0.14","0","2","0","0"
"4","26","4","0","0","1","1","0.14","0","1","0","0"
"4","26","5","0","0","1","0.9","0.14","0","1","0","0"
"4","26","6","224","51","3","1.2","0.14","55.235","4.512","312.808","270.015"
"4","26","7","556","99","5","1.4","0.14","259.799","12.076","1724.397","1631.586"
"4","26","8","730","122","8","1.6","0.14","504.252","21.407","3532.966","3376.071"
"4","26","9","818","138","11","1.8","0.14","729.784","29.533","4915.324","4709.446"
"4","26","10","569","275","12","1.8","0.14","780.126","31.744","5144.957","4930.942"
"4","26","11","567","325","13","1.5","0.14","889.323","36.995","5711.936","5477.831"
"4","26","12","259","453","14","1.2","0.14","726.676","34.978","4670.786","4473.573"
"4","26","13","240","443","14","0.9","0.14","680.743","35.191","4374.706","4187.984"
"4","26","14","287","388","14","0.9","0.14","650.28","34.272","4215.334","4034.259"
"4","26","15","234","326","14","1","0.14","496.081","29.098","3293.446","3145.038"
"4","26","16","206","239","14","0.7","0.14","346.598","25.451","2343.181","2228.444"
"4","26","17","133","147","13","0.5","0.14","183.922","19.41","1236.096","1160.588"
"4","26","18","33","60","12","0.5","0.14","57.652","13.993","367.719","322.981"
"4","26","19","0","0","12","0.4","0.14","0","12","0","0"
"4","26","20","0","0","12","0.4","0.14","0","12","0","0"
"4","26","21","0","0","11","0.5","0.14","0","11","0","0"
"4","26","22","0","0","10","0.6","0.14","0","10","0","0"
"4","26","23","0","0","9","0.8","0.14","0","9","0","0"
"4","27","0","0","0","8","1","0.14","0","8","0","0"
"4","27","1","0","0","7","1.1","0.14","0","7","0","0"
"4","27","2","0","0","7","1","0.14","0","7","0","0"
"4","27","3","0","0","7","1.1","0.14","0","7","0","0"
"4","27","4","0","0","6","1.2","0.14","0","6","0","0"
"4","27","5","0","0","6","1.2","0.14","0","6","0","0"
"4","27","6","0","19","7","1.2","0.14","17.602","7.507","111.072","75.427"
"4","27","7","0","22","9","1.5","0.14","20.387","9.553","132.899","96.481"
"4","27","8","0","142","11","2","0.14","132.533","14.221","903.403","839.684"
"4","27","9","0","151","13","2.4","0.14","141.234","16.165","945.966","880.739"
"4","27","10","6","187","14","2.4","0.14","180.859","18.045","1203.683","1129.323"
"4","27","11","8","198","15","2.4","0.14","194.144","19.337","1282.943","1205.775"
"4","27","12","21","330","15","2.6","0.14","335.259","22.217","2222.836","2112.364"
"4","27","13","7","184","14","2.9","0.14","179.924","17.674","1193.122","1119.136"
"4","27","14","15","266","14","3","0.14","264.874","19.325","1773.624","1679.069"
"4","27","15","33","281","13","2.8","0.14","295.692","19.165","2003.574","1900.871"
"4","27","16","1","160","13","2.7","0.14","150.126","16.194","1017.279","949.525"
"4","27","17","0","11","13","2.5","0.14","10.19","13.225","63.149","29.203"
"4","27","18","0","3","12","2.4","0.14","2.774","12.062","15.973","0"
"4","27","19","0","0","12","2.7","0.14","0","12","0","0"
"4","27","20","0","0","12","3","0.14","0","12","0","0"
"4","27","21","0","0","12","3.2","0.14","0","12","0","0"
"4","27","22","0","0","11","3.6","0.14","0","11","0","0"
"4","27","23","0","0","11","3.9","0.14","0","11","0","0"
"4","28","0","0","0","11","4","0.14","0","11","0","0"
"4","28","1","0","0","11","4.1","0.14","0","11","0","0"
"4","28","2","0","0","10","4.1","0.14","0","10","0","0"
"4","28","3","0","0","10","4","0.14","0","10","0","0"
"4","28","4","0","0","10","4","0.14","0","10","0","0"
"4","28","5","0","0","11","3.7","0.14","0","11","0","0"
"4","28","6","176","52","11","3.4","0.14","54.976","11.995","312.628","269.842"
"4","28","7","50","127","11","3.3","0.14","133.041","13.56","909.779","845.833"
"4","28","8","24","193","12","3.3","0.14","193.151","15.718","1327.496","1248.749"
"4","28","9","211","317","13","3.2","0.14","462.332","22.032","3152.956","3009.526"
"4","28","10","146","396","15","3.4","0.14","521.099","24.832","3486.034","3330.801"
"4","28","11","52","399","16","3.7","0.14","442.159","23.948","2937.26","2801.473"
"4","28","12","11","223","17","4","0.14","221.548","20.807","1459.519","1376.094"
"4","28","13","102","444","18","4","0.14","537.56","27.249","3540.965","3383.786"
"4","28","14","20","294","19","3.8","0.14","296.351","24.251","1952.92","1852.012"
"4","28","15","55","307","19","3.3","0.14","337.659","25.478","2242.057","2130.903"
"4","28","16","0","103","18","2.8","0.14","95.898","20.004","629.024","575.027"
"4","28","17","0","12","17","2.3","0.14","11.117","17.255","67.829","33.717"
"4","28","18","332","58","15","1.7","0.14","85.038","17.052","448.95","401.333"
"4","28","19","0","0","13","1.4","0.14","0","13","0","0"
"4","28","20","0","0","11","1.2","0.14","0","11","0","0"
"4","28","21","0","0","10","1.1","0.14","0","10","0","0"
"4","28","22","0","0","9","1","0.14","0","9","0","0"
"4","28","23","0","0","9","1","0.14","0","9","0","0"
"4","29","0","0","0","9","1","0.14","0","9","0","0"
"4","29","1","0","0","8","1.1","0.14","0","8","0","0"
"4","29","2","0","0","8","1.1","0.14","0","8","0","0"
"4","29","3","0","0","9","1","0.14","0","9","0","0"
"4","29","4","0","0","8","0.9","0.14","0","8","0","0"
"4","29","5","0","0","8","0.9","0.14","0","8","0","0"
"4","29","6","0","7","10","1.3","0.14","6.474","10.182","38.714","5.633"
"4","29","7","0","60","12","1.8","0.14","55.722","13.416","372.883","327.962"
"4","29","8","0","69","13","2","0.14","64.13","14.558","424.34","377.596"
"4","29","9","3","176","14","2.1","0.14","167.05","17.966","1117.334","1046.034"
"4","29","10","19","285","15","2","0.14","286.208","21.92","1903.226","1804.079"
"4","29","11","63","413","16","1.9","0.14","466.776","27.511","3062.298","2922.08"
"4","29","12","147","469","17","1.8","0.14","620.771","32.637","4010.598","3836.778"
"4","29","13","6","173","17","1.7","0.14","168.438","21.329","1097.989","1027.375"
"4","29","14","9","217","17","1.6","0.14","212.331","22.583","1393.645","1312.554"
"4","29","15","125","334","17","1.4","0.14","422.108","28.651","2788.753","2658.228"
"4","29","16","197","244","17","1.2","0.14","346.109","27.052","2323.114","2209.089"
"4","29","17","537","112","16","0.9","0.14","291.24","25.034","1895.952","1797.062"
"4","29","18","312","63","14","0.8","0.14","87.704","16.646","474.834","426.3"
"4","29","19","0","0","12","0.9","0.14","0","12","0","0"
"4","29","20","0","0","11","1","0.14","0","11","0","0"
"4","29","21","0","0","10","1","0.14","0","10","0","0"
"4","29","22","0","0","10","1.1","0.14","0","10","0","0"
"4","29","23","0","0","9","1.1","0.14","0","9","0","0"
"4","30","0","0","0","9","1","0.14","0","9","0","0"
"4","30","1","0","0","8","1","0.14","0","8","0","0"
"4","30","2","0","0","8","1","0.14","0","8","0","0"
"4","30","3","0","0","7","1","0.14","0","7","0","0"
"4","30","4","0","0","7","1","0.14","0","7","0","0"
"4","30","5","0","0","8","1","0.14","0","8","0","0"
"4","30","6","322","46","10","1.4","0.14","58.853","11.494","299.543","257.221"
"4","30","7","593","85","13","1.6","0.14","261.271","19.801","1682.649","1591.317"
"4","30","8","732","108","16","1.2","0.14","495.247","30.438","3350.282","3199.86"
"4","30","9","812","122","19","1.1","0.14","712.652","40.231","4601.415","4406.66"
"4","30","10","866","127","20","0.9","0.14","884.972","47.684","5498.68","5272.131"
"4","30","11","895","129","21","0.9","0.14","999.198","52.223","6056.93","5810.6"
"4","30","12","905","129","22","1","0.14","1042.073","53.724","6262.849","6009.223"
"4","30","13","914","118","23","1.1","0.14","1016.282","53.184","6132.752","5883.735"
"4","30","14","894","113","23","1.2","0.14","913.89","49.514","5630.534","5399.314"
"4","30","15","856","105","23","1.2","0.14","749.894","44.796","4749.207","4549.216"
"4","30","16","785","95","23","1.2","0.14","539.325","38.718","3529.776","3372.994"
"4","30","17","669","77","22","1","0.14","304.437","31.185","1921.972","1822.16"
"4","30","18","439","48","19","1","0.14","88.314","21.445","426.975","380.137"
"4","30","19","0","0","17","1.1","0.14","0","17","0","0"
"4","30","20","0","0","15","1.2","0.14","0","15","0","0"
"4","30","21","0","0","15","1.2","0.14","0","15","0","0"
"4","30","22","0","0","14","1.2","0.14","0","14","0","0"
"4","30","23","0","0","13","1.3","0.14","0","13","0","0"
"5","1","0","0","0","13","1.3","0.14","0","13","0","0"
"5","1","1","0","0","12","1.4","0.14","0","12","0","0"
"5","1","2","0","0","12","1.4","0.14","0","12","0","0"
"5","1","3","0","0","11","1.3","0.14","0","11","0","0"
"5","1","4","0","0","11","1.2","0.14","0","11","0","0"
"5","1","5","0","0","12","1.2","0.14","0","12","0","0"
"5","1","6","307","48","14","1.5","0.14","60.286","15.505","307.047","264.459"
"5","1","7","574","88","17","1.6","0.14","259.337","23.755","1648.217","1558.105"
"5","1","8","707","114","19","1.3","0.14","488.942","32.916","3272.949","3125.267"
"5","1","9","781","132","22","0.9","0.14","701.07","43.969","4455.537","4265.951"
"5","1","10","829","141","23","0.8","0.14","872.282","51.011","5341.859","5120.867"
"5","1","11","849","149","24","1.5","0.14","981.828","50.529","5990.869","5746.88"
"5","1","12","516","340","24","1.9","0.14","876.309","45.673","5421.28","5197.474"
"5","1","13","511","363","24","2.2","0.14","879.105","44.477","5467.785","5242.331"
"5","1","14","802","158","24","2.4","0.14","882.699","43.846","5559.669","5330.959"
"5","1","15","528","241","23","2.4","0.14","642.209","37.447","4162.186","3982.995"
"5","1","16","702","116","23","2.3","0.14","514.011","34.832","3409.88","3257.346"
"5","1","17","62","148","22","1.9","0.14","159.219","25.951","1043.917","975.219"
"5","1","18","314","61","20","1.5","0.14","86.646","22.199","456.164","408.292"
"5","1","19","0","0","18","1.6","0.14","0","18","0","0"
"5","1","20","0","0","17","1.8","0.14","0","17","0","0"
"5","1","21","0","0","16","2","0.14","0","16","0","0"
"5","1","22","0","0","15","2.1","0.14","0","15","0","0"
"5","1","23","0","0","15","2","0.14","0","15","0","0"
"5","2","0","0","0","14","1.7","0.14","0","14","0","0"
"5","2","1","0","0","13","1.4","0.14","0","13","0","0"
"5","2","2","0","0","12","1.2","0.14","0","12","0","0"
"5","2","3","0","0","12","1.2","0.14","0","12","0","0"
"5","2","4","0","0","11","1.3","0.14","0","11","0","0"
"5","2","5","0","0","12","1.7","0.14","0","12","0","0"
"5","2","6","338","43","13","2.3","0.14","59.138","14.234","291.487","249.45"
"5","2","7","509","92","15","2.8","0.14","244.341","20.041","1580.298","1492.593"
"5","2","8","440","186","16","2.9","0.14","416.917","24.603","2859.119","2726.1"
"5","2","9","451","259","17","2.8","0.14","588.304","29.312","3933.416","3762.331"
"5","2","10","469","315","18","2.6","0.14","733.854","33.879","4787.193","4585.855"
"5","2","11","417","380","19","2.4","0.14","798.918","36.906","5119.355","4906.248"
"5","2","12","237","465","20","2.3","0.14","705.943","36.097","4512.098","4320.508"
"5","2","13","258","447","20","2.2","0.14","709.307","36.495","4533.714","4341.358"
"5","2","14","207","410","20","2.1","0.14","592.151","34.055","3828.419","3661.054"
"5","2","15","529","241","20","2","0.14","642.862","35.632","4196.118","4015.724"
"5","2","16","564","160","19","1.7","0.14","477.593","31.405","3198.926","3053.867"
"5","2","17","574","100","18","1.2","0.14","294.946","26.483","1906.7","1807.43"
"5","2","18","78","68","17","1","0.14","69.122","19.071","423.702","376.98"
"5","2","19","0","0","16","1.1","0.14","0","0","0","0"
"5","2","20","0","0","16","1.2","0.14","0","16","0","0"
"5","2","21","0","0","15","1.4","0.14","0","15","0","0"
"5","2","22","0","0","14","1.4","0.14","0","14","0","0"
"5","2","23","0","0","14","1.5","0.14","0","14","0","0"
"5","3","0","0","0","13","1.6","0.14","0","13","0","0"
"5","3","1","0","0","13","1.6","0.14","0","13","0","0"
"5","3","2","0","0","12","1.6","0.14","0","12","0","0"
"5","3","3","0","0","12","1.6","0.14","0","12","0","0"
"5","3","4","0","0","13","1.7","0.14","0","13","0","0"
"5","3","5","0","0","13","2","0.14","0","13","0","0"
"5","3","6","35","52","13","2.5","0.14","49.097","14.071","308.595","265.952"
"5","3","7","186","137","15","2.9","0.14","184.838","18.782","1229.841","1154.554"
"5","3","8","272","223","16","3.2","0.14","360.851","23.074","2471.123","2351.852"
"5","3","9","802","123","17","3.3","0.14","708.343","30.662","4746.423","4546.53"
"5","3","10","471","316","18","3.3","0.14","736.576","32.15","4836.779","4633.684"
"5","3","11","436","375","19","3.3","0.14","812.171","34.579","5252.957","5035.115"
"5","3","12","227","469","20","3.4","0.14","699.721","33.186","4521.899","4329.961"
"5","3","13","357","417","20","3.5","0.14","775.187","34.399","5007.199","4798.065"
"5","3","14","328","385","20","3.5","0.14","681.675","32.673","4447.896","4258.581"
"5","3","15","328","315","19","3.5","0.14","559.709","29.427","3721.385","3557.813"
"5","3","16","60","236","18","3.6","0.14","257.883","22.734","1736.925","1643.67"
"5","3","17","166","154","17","3.5","0.14","201.626","20.752","1349.05","1269.54"
"5","3","18","27","66","15","3","0.14","62.532","16.256","401.47","355.535"
"5","3","19","0","0","13","2.5","0.14","0","0","0","0"
"5","3","20","0","0","13","2.3","0.14","0","13","0","0"
"5","3","21","0","0","12","2.1","0.14","0","12","0","0"
"5","3","22","0","0","12","2","0.14","0","12","0","0"
"5","3","23","0","0","12","1.9","0.14","0","12","0","0"
"5","4","0","0","0","11","1.8","0.14","0","11","0","0"
"5","4","1","0","0","11","1.9","0.14","0","11","0","0"
"5","4","2","0","0","11","2.3","0.14","0","11","0","0"
"5","4","3","0","0","11","2.5","0.14","0","11","0","0"
"5","4","4","0","0","11","2.6","0.14","0","11","0","0"
"5","4","5","0","0","11","2.8","0.14","0","11","0","0"
"5","4","6","325","53","11","3.3","0.14","67.619","12.205","353.664","309.424"
"5","4","7","144","141","12","3.7","0.14","175.884","15.17","1191.643","1117.71"
"5","4","8","0","138","13","3.9","0.14","128.643","15.257","870.957","808.387"
"5","4","9","228","323","14","3.7","0.14","480.367","22.677","3267.623","3120.13"
"5","4","10","334","374","16","3.4","0.14","668.548","28.629","4435.051","4246.191"
"5","4","11","281","439","17","3","0.14","719.649","31.486","4694.735","4496.673"
"5","4","12","489","392","18","2.7","0.14","900.319","37.101","5754.906","5519.278"
"5","4","13","146","460","19","2.5","0.14","604.002","32.259","3909.452","3739.216"
"5","4","14","862","131","19","2.4","0.14","903.519","39.319","5797.953","5560.8"
"5","4","15","0","141","18","2.1","0.14","131.735","21.125","860.206","798.017"
"5","4","16","14","195","17","1.8","0.14","190.225","21.815","1270.466","1193.74"
"5","4","17","0","85","16","1.3","0.14","78.948","18.241","523.993","473.717"
"5","4","18","0","45","15","1","0.14","41.69","16.271","269.302","228.051"
"5","4","19","0","0","14","1.1","0.14","0","0","0","0"
"5","4","20","0","0","13","1.6","0.14","0","13","0","0"
"5","4","21","0","0","13","2.3","0.14","0","13","0","0"
"5","4","22","0","0","12","3","0.14","0","12","0","0"
"5","4","23","0","0","11","3.1","0.14","0","11","0","0"
"5","5","0","0","0","10","3","0.14","0","10","0","0"
"5","5","1","0","0","10","3","0.14","0","10","0","0"
"5","5","2","0","0","10","3.2","0.14","0","10","0","0"
"5","5","3","0","0","10","3.3","0.14","0","10","0","0"
"5","5","4","0","0","10","3.6","0.14","0","10","0","0"
"5","5","5","0","0","10","3.9","0.14","0","10","0","0"
"5","5","6","0","4","9","3.9","0.14","3.699","9.065","21.864","0"
"5","5","7","0","97","9","4.1","0.14","89.916","10.538","619.997","566.32"
"5","5","8","0","124","9","4.2","0.14","115.51","10.941","792.319","732.536"
"5","5","9","0","118","10","4.2","0.14","110.047","11.844","742.092","684.089"
"5","5","10","0","75","10","4.1","0.14","69.883","11.185","460.77","412.735"
"5","5","11","0","106","10","4.1","0.14","99.089","11.678","657.901","602.88"
"5","5","12","9","195","10","4.1","0.14","192.623","13.262","1300.064","1222.289"
"5","5","13","3","147","11","4.1","0.14","140.775","13.384","940.318","875.29"
"5","5","14","14","261","11","4.2","0.14","258.762","15.327","1756.617","1662.664"
"5","5","15","0","106","11","4.1","0.14","98.796","12.678","660.368","605.26"
"5","5","16","0","79","11","3.9","0.14","73.466","12.288","491.702","442.571"
"5","5","17","0","22","11","3.4","0.14","20.393","11.387","131.506","95.138"
"5","5","18","0","4","10","2.6","0.14","3.699","10.08","21.977","0"
"5","5","19","0","0","10","2.4","0.14","0","0","0","0"
"5","5","20","0","0","10","2.7","0.14","0","10","0","0"
"5","5","21","0","0","10","2.9","0.14","0","10","0","0"
"5","5","22","0","0","10","3.1","0.14","0","10","0","0"
"5","5","23","0","0","10","3.5","0.14","0","10","0","0"
"5","6","0","0","0","10","3.7","0.14","0","10","0","0"
"5","6","1","0","0","10","3.6","0.14","0","10","0","0"
"5","6","2","0","0","10","3.7","0.14","0","10","0","0"
"5","6","3","0","0","10","3.8","0.14","0","10","0","0"
"5","6","4","0","0","10","3.5","0.14","0","10","0","0"
"5","6","5","0","0","10","3.4","0.14","0","10","0","0"
"5","6","6","0","6","11","3.6","0.14","5.549","11.102","33.155","0.272"
"5","6","7","0","19","12","4","0.14","17.607","12.305","112.48","76.786"
"5","6","8","56","224","14","4.2","0.14","241.682","18.065","1656.869","1566.451"
"5","6","9","79","317","15","4.1","0.14","361.79","21.155","2449.923","2331.404"
"5","6","10","218","404","16","4","0.14","590.276","26.177","3937.387","3766.161"
"5","6","11","14","263","17","3.9","0.14","262.089","21.57","1731.431","1638.371"
"5","6","12","179","478","17","3.7","0.14","659.894","28.868","4328.404","4143.323"
"5","6","13","435","385","17","3.5","0.14","825.225","32.334","5379.131","5156.819"
"5","6","14","435","342","17","3.4","0.14","739.539","30.975","4868.061","4663.858"
"5","6","15","133","343","17","3","0.14","435.462","25.781","2908.774","2773.996"
"5","6","16","5","176","16","2.6","0.14","167.188","19.62","1120.417","1049.008"
"5","6","17","0","88","16","2","0.14","81.719","17.991","543.567","492.598"
"5","6","18","132","71","15","1.4","0.14","77.394","17.087","466.183","417.956"
"5","6","19","0","0","13","1.4","0.14","0","0","0","0"
"5","6","20","0","0","13","1.4","0.14","0","13","0","0"
"5","6","21","0","0","12","1.2","0.14","0","12","0","0"
"5","6","22","0","0","12","1","0.14","0","12","0","0"
"5","6","23","0","0","11","0.9","0.14","0","11","0","0"
"5","7","0","0","0","10","0.9","0.14","0","10","0","0"
"5","7","1","0","0","10","0.9","0.14","0","10","0","0"
"5","7","2","0","0","10","0.9","0.14","0","10","0","0"
"5","7","3","0","0","10","0.9","0.14","0","10","0","0"
"5","7","4","0","0","10","0.9","0.14","0","10","0","0"
"5","7","5","0","0","10","1","0.14","0","10","0","0"
"5","7","6","50","57","11","1.4","0.14","54.862","12.497","346.689","302.696"
"5","7","7","24","132","13","1.7","0.14","129.399","16.353","878.82","815.972"
