month,day,hour,pv_energy_gen_kWh
11,23,15,0.392789375
11,23,15,0.392789375
11,23,16,0.1706415
11,23,16,0.1706415
11,23,16,0.1706415
11,23,16,0.1706415
11,23,17,0.0
11,23,17,0.0
11,23,17,0.0
11,23,17,0.0
11,23,18,0.0
11,23,18,0.0
11,23,18,0.0
11,23,18,0.0
11,23,19,0.0
11,23,19,0.0
11,23,19,0.0
11,23,19,0.0
11,23,20,0.0
11,23,20,0.0
11,23,20,0.0
11,23,20,0.0
11,23,21,0.0
11,23,21,0.0
11,23,21,0.0
11,23,21,0.0
11,23,22,0.0
11,23,22,0.0
11,23,22,0.0
11,23,22,0.0
11,23,23,0.0
11,23,23,0.0
11,23,23,0.0
11,23,23,0.0
11,24,0,0.0
11,24,0,0.0
11,24,0,0.0
11,24,0,0.0
11,24,1,0.0
11,24,1,0.0
11,24,1,0.0
11,24,1,0.0
11,24,2,0.0
11,24,2,0.0
11,24,2,0.0
11,24,2,0.0
11,24,3,0.0
11,24,3,0.0
11,24,3,0.0
11,24,3,0.0
11,24,4,0.0
11,24,4,0.0
11,24,4,0.0
11,24,4,0.0
11,24,5,0.0
11,24,5,0.0
11,24,5,0.0
11,24,5,0.0
11,24,6,0.0
11,24,6,0.0
11,24,6,0.0
11,24,6,0.0
11,24,7,0.0
11,24,7,0.0
11,24,7,0.0
11,24,7,0.0
11,24,8,0.2110785
11,24,8,0.2110785
11,24,8,0.2110785
11,24,8,0.2110785
11,24,9,0.427789625
11,24,9,0.427789625
11,24,9,0.427789625
11,24,9,0.427789625
11,24,10,0.56518475
11,24,10,0.56518475
11,24,10,0.56518475
11,24,10,0.56518475
11,24,11,0.6414896250000001
11,24,11,0.6414896250000001
11,24,11,0.6414896250000001
11,24,11,0.6414896250000001
11,24,12,0.65822625
11,24,12,0.65822625
11,24,12,0.65822625
11,24,12,0.65822625
11,24,13,0.6186515
11,24,13,0.6186515
11,24,13,0.6186515
11,24,13,0.6186515
11,24,14,0.5264021249999999
11,24,14,0.5264021249999999
11,24,14,0.5264021249999999
11,24,14,0.5264021249999999
11,24,15,0.38491037499999997
11,24,15,0.38491037499999997
11,24,15,0.38491037499999997
11,24,15,0.38491037499999997
11,24,16,0.17033225
11,24,16,0.17033225
11,24,16,0.17033225
11,24,16,0.17033225
11,24,17,0.0
11,24,17,0.0
11,24,17,0.0
11,24,17,0.0
11,24,18,0.0
11,24,18,0.0
11,24,18,0.0
11,24,18,0.0
11,24,19,0.0
11,24,19,0.0
11,24,19,0.0
11,24,19,0.0
11,24,20,0.0
11,24,20,0.0
11,24,20,0.0
11,24,20,0.0
11,24,21,0.0
11,24,21,0.0
11,24,21,0.0
11,24,21,0.0
11,24,22,0.0
11,24,22,0.0
11,24,22,0.0
11,24,22,0.0
11,24,23,0.0
11,24,23,0.0
11,24,23,0.0
11,24,23,0.0
11,25,0,0.0
11,25,0,0.0
11,25,0,0.0
11,25,0,0.0
11,25,1,0.0
11,25,1,0.0
11,25,1,0.0
11,25,1,0.0
11,25,2,0.0
11,25,2,0.0
11,25,2,0.0
11,25,2,0.0
11,25,3,0.0
11,25,3,0.0
11,25,3,0.0
11,25,3,0.0
11,25,4,0.0
11,25,4,0.0
11,25,4,0.0
11,25,4,0.0
11,25,5,0.0
11,25,5,0.0
11,25,5,0.0
11,25,5,0.0
11,25,6,0.0
11,25,6,0.0
11,25,6,0.0
11,25,6,0.0
11,25,7,0.0
11,25,7,0.0
11,25,7,0.0
11,25,7,0.0
11,25,8,0.204945
11,25,8,0.204945
11,25,8,0.204945
11,25,8,0.204945
11,25,9,0.417836
11,25,9,0.417836
11,25,9,0.417836
11,25,9,0.417836
11,25,10,0.5535081249999999
11,25,10,0.5535081249999999
11,25,10,0.5535081249999999
11,25,10,0.5535081249999999
11,25,11,0.627311375
11,25,11,0.627311375
11,25,11,0.627311375
11,25,11,0.627311375
11,25,12,0.6482486249999999
11,25,12,0.6482486249999999
11,25,12,0.6482486249999999
11,25,12,0.6482486249999999
11,25,13,0.6101409999999999
11,25,13,0.6101409999999999
11,25,13,0.6101409999999999
11,25,13,0.6101409999999999
11,25,14,0.434423875
11,25,14,0.434423875
11,25,14,0.434423875
11,25,14,0.434423875
11,25,15,0.311994875
11,25,15,0.311994875
11,25,15,0.311994875
11,25,15,0.311994875
11,25,16,0.12351762499999999
11,25,16,0.12351762499999999
11,25,16,0.12351762499999999
11,25,16,0.12351762499999999
11,25,17,0.0
11,25,17,0.0
11,25,17,0.0
11,25,17,0.0
11,25,18,0.0
11,25,18,0.0
11,25,18,0.0
11,25,18,0.0
11,25,19,0.0
11,25,19,0.0
11,25,19,0.0
11,25,19,0.0
11,25,20,0.0
11,25,20,0.0
11,25,20,0.0
11,25,20,0.0
11,25,21,0.0
11,25,21,0.0
11,25,21,0.0
11,25,21,0.0
11,25,22,0.0
11,25,22,0.0
11,25,22,0.0
11,25,22,0.0
11,25,23,0.0
11,25,23,0.0
11,25,23,0.0
11,25,23,0.0
11,26,0,0.0
11,26,0,0.0
11,26,0,0.0
11,26,0,0.0
11,26,1,0.0
11,26,1,0.0
11,26,1,0.0
11,26,1,0.0
11,26,2,0.0
11,26,2,0.0
11,26,2,0.0
11,26,2,0.0
11,26,3,0.0
11,26,3,0.0
11,26,3,0.0
11,26,3,0.0
11,26,4,0.0
11,26,4,0.0
11,26,4,0.0
11,26,4,0.0
11,26,5,0.0
11,26,5,0.0
11,26,5,0.0
11,26,5,0.0
11,26,6,0.0
11,26,6,0.0
11,26,6,0.0
11,26,6,0.0
11,26,7,0.0
11,26,7,0.0
11,26,7,0.0
11,26,7,0.0
11,26,8,0.14539
11,26,8,0.14539
11,26,8,0.14539
11,26,8,0.14539
11,26,9,0.240135375
11,26,9,0.240135375
11,26,9,0.240135375
11,26,9,0.240135375
11,26,10,0.418476375
11,26,10,0.418476375
11,26,10,0.418476375
11,26,10,0.418476375
11,26,11,0.41701825000000003
11,26,11,0.41701825000000003
11,26,11,0.41701825000000003
11,26,11,0.41701825000000003
11,26,12,0.494682875
11,26,12,0.494682875
11,26,12,0.494682875
11,26,12,0.494682875
11,26,13,0.274063
11,26,13,0.274063
11,26,13,0.274063
11,26,13,0.274063
11,26,14,0.36188775
11,26,14,0.36188775
11,26,14,0.36188775
11,26,14,0.36188775
11,26,15,0.24549812499999998
11,26,15,0.24549812499999998
11,26,15,0.24549812499999998
11,26,15,0.24549812499999998
11,26,16,0.13670612499999998
11,26,16,0.13670612499999998
11,26,16,0.13670612499999998
11,26,16,0.13670612499999998
11,26,17,0.0
11,26,17,0.0
11,26,17,0.0
11,26,17,0.0
11,26,18,0.0
11,26,18,0.0
11,26,18,0.0
11,26,18,0.0
11,26,19,0.0
11,26,19,0.0
11,26,19,0.0
11,26,19,0.0
11,26,20,0.0
11,26,20,0.0
11,26,20,0.0
11,26,20,0.0
11,26,21,0.0
11,26,21,0.0
11,26,21,0.0
11,26,21,0.0
11,26,22,0.0
11,26,22,0.0
11,26,22,0.0
11,26,22,0.0
11,26,23,0.0
11,26,23,0.0
11,26,23,0.0
11,26,23,0.0
11,27,0,0.0
11,27,0,0.0
11,27,0,0.0
11,27,0,0.0
11,27,1,0.0
11,27,1,0.0
11,27,1,0.0
11,27,1,0.0
11,27,2,0.0
11,27,2,0.0
11,27,2,0.0
11,27,2,0.0
11,27,3,0.0
11,27,3,0.0
11,27,3,0.0
11,27,3,0.0
11,27,4,0.0
11,27,4,0.0
11,27,4,0.0
11,27,4,0.0
11,27,5,0.0
11,27,5,0.0
11,27,5,0.0
11,27,5,0.0
11,27,6,0.0
11,27,6,0.0
11,27,6,0.0
11,27,6,0.0
11,27,7,0.0
11,27,7,0.0
11,27,7,0.0
11,27,7,0.0
11,27,8,0.055351750000000005
11,27,8,0.055351750000000005
11,27,8,0.055351750000000005
11,27,8,0.055351750000000005
11,27,9,0.26269975
11,27,9,0.26269975
11,27,9,0.26269975
11,27,9,0.26269975
11,27,10,0.54239275
11,27,10,0.54239275
11,27,10,0.54239275
11,27,10,0.54239275
11,27,11,0.43170749999999997
11,27,11,0.43170749999999997
11,27,11,0.43170749999999997
11,27,11,0.43170749999999997
11,27,12,0.50635775
11,27,12,0.50635775
11,27,12,0.50635775
11,27,12,0.50635775
11,27,13,0.43376125000000004
11,27,13,0.43376125000000004
11,27,13,0.43376125000000004
11,27,13,0.43376125000000004
11,27,14,0.2999035
11,27,14,0.2999035
11,27,14,0.2999035
11,27,14,0.2999035
11,27,15,0.26033875
11,27,15,0.26033875
11,27,15,0.26033875
11,27,15,0.26033875
11,27,16,0.09344625000000001
11,27,16,0.09344625000000001
11,27,16,0.09344625000000001
11,27,16,0.09344625000000001
11,27,17,0.0
11,27,17,0.0
11,27,17,0.0
11,27,17,0.0
11,27,18,0.0
11,27,18,0.0
11,27,18,0.0
11,27,18,0.0
11,27,19,0.0
11,27,19,0.0
11,27,19,0.0
11,27,19,0.0
11,27,20,0.0
11,27,20,0.0
11,27,20,0.0
11,27,20,0.0
11,27,21,0.0
11,27,21,0.0
11,27,21,0.0
11,27,21,0.0
11,27,22,0.0
11,27,22,0.0
11,27,22,0.0
11,27,22,0.0
11,27,23,0.0
11,27,23,0.0
11,27,23,0.0
11,27,23,0.0
11,28,0,0.0
11,28,0,0.0
11,28,0,0.0
11,28,0,0.0
11,28,1,0.0
11,28,1,0.0
11,28,1,0.0
11,28,1,0.0
11,28,2,0.0
11,28,2,0.0
11,28,2,0.0
11,28,2,0.0
11,28,3,0.0
11,28,3,0.0
11,28,3,0.0
11,28,3,0.0
11,28,4,0.0
11,28,4,0.0
11,28,4,0.0
11,28,4,0.0
11,28,5,0.0
11,28,5,0.0
11,28,5,0.0
11,28,5,0.0
11,28,6,0.0
11,28,6,0.0
11,28,6,0.0
11,28,6,0.0
11,28,7,0.0
11,28,7,0.0
11,28,7,0.0
11,28,7,0.0
11,28,8,0.09146675
11,28,8,0.09146675
11,28,8,0.09146675
11,28,8,0.09146675
11,28,9,0.242894
11,28,9,0.242894
11,28,9,0.242894
11,28,9,0.242894
11,28,10,0.37564175
11,28,10,0.37564175
11,28,10,0.37564175
11,28,10,0.37564175
11,28,11,0.25659525
11,28,11,0.25659525
11,28,11,0.25659525
11,28,11,0.25659525
11,28,12,0.150522375
11,28,12,0.150522375
11,28,12,0.150522375
11,28,12,0.150522375
11,28,13,0.1969555
11,28,13,0.1969555
11,28,13,0.1969555
11,28,13,0.1969555
11,28,14,0.299575
11,28,14,0.299575
11,28,14,0.299575
11,28,14,0.299575
11,28,15,0.161434875
11,28,15,0.161434875
11,28,15,0.161434875
11,28,15,0.161434875
11,28,16,0.039820999999999995
11,28,16,0.039820999999999995
11,28,16,0.039820999999999995
11,28,16,0.039820999999999995
11,28,17,0.0
11,28,17,0.0
11,28,17,0.0
11,28,17,0.0
11,28,18,0.0
11,28,18,0.0
11,28,18,0.0
11,28,18,0.0
11,28,19,0.0
11,28,19,0.0
11,28,19,0.0
11,28,19,0.0
11,28,20,0.0
11,28,20,0.0
11,28,20,0.0
11,28,20,0.0
11,28,21,0.0
11,28,21,0.0
11,28,21,0.0
11,28,21,0.0
11,28,22,0.0
11,28,22,0.0
11,28,22,0.0
11,28,22,0.0
11,28,23,0.0
11,28,23,0.0
11,28,23,0.0
11,28,23,0.0
11,29,0,0.0
11,29,0,0.0
11,29,0,0.0
11,29,0,0.0
11,29,1,0.0
11,29,1,0.0
11,29,1,0.0
11,29,1,0.0
11,29,2,0.0
11,29,2,0.0
11,29,2,0.0
11,29,2,0.0
11,29,3,0.0
11,29,3,0.0
11,29,3,0.0
11,29,3,0.0
11,29,4,0.0
11,29,4,0.0
11,29,4,0.0
11,29,4,0.0
11,29,5,0.0
11,29,5,0.0
11,29,5,0.0
11,29,5,0.0
11,29,6,0.0
11,29,6,0.0
11,29,6,0.0
11,29,6,0.0
11,29,7,0.0
11,29,7,0.0
11,29,7,0.0
11,29,7,0.0
11,29,8,0.042990125
11,29,8,0.042990125
11,29,8,0.042990125
11,29,8,0.042990125
11,29,9,0.20269649999999997
11,29,9,0.20269649999999997
11,29,9,0.20269649999999997
11,29,9,0.20269649999999997
11,29,10,0.307071875
11,29,10,0.307071875
11,29,10,0.307071875
11,29,10,0.307071875
11,29,11,0.454083
11,29,11,0.454083
11,29,11,0.454083
11,29,11,0.454083
11,29,12,0.29024225000000003
11,29,12,0.29024225000000003
11,29,12,0.29024225000000003
11,29,12,0.29024225000000003
11,29,13,0.42556025
11,29,13,0.42556025
11,29,13,0.42556025
11,29,13,0.42556025
11,29,14,0.17712325
11,29,14,0.17712325
11,29,14,0.17712325
11,29,14,0.17712325
11,29,15,0.1053275
11,29,15,0.1053275
11,29,15,0.1053275
11,29,15,0.1053275
11,29,16,0.03172025
11,29,16,0.03172025
11,29,16,0.03172025
11,29,16,0.03172025
11,29,17,0.0
11,29,17,0.0
11,29,17,0.0
11,29,17,0.0
11,29,18,0.0
11,29,18,0.0
11,29,18,0.0
11,29,18,0.0
11,29,19,0.0
11,29,19,0.0
11,29,19,0.0
11,29,19,0.0
11,29,20,0.0
11,29,20,0.0
11,29,20,0.0
11,29,20,0.0
11,29,21,0.0
11,29,21,0.0
11,29,21,0.0
11,29,21,0.0
11,29,22,0.0
11,29,22,0.0
11,29,22,0.0
11,29,22,0.0
11,29,23,0.0
11,29,23,0.0
11,29,23,0.0
11,29,23,0.0
11,30,0,0.0
11,30,0,0.0
11,30,0,0.0
11,30,0,0.0
11,30,1,0.0
11,30,1,0.0
11,30,1,0.0
11,30,1,0.0
11,30,2,0.0
11,30,2,0.0
11,30,2,0.0
11,30,2,0.0
11,30,3,0.0
11,30,3,0.0
11,30,3,0.0
11,30,3,0.0
11,30,4,0.0
11,30,4,0.0
11,30,4,0.0
11,30,4,0.0
11,30,5,0.0
11,30,5,0.0
11,30,5,0.0
11,30,5,0.0
11,30,6,0.0
11,30,6,0.0
11,30,6,0.0
11,30,6,0.0
11,30,7,0.0
11,30,7,0.0
11,30,7,0.0
11,30,7,0.0
11,30,8,0.07781325
11,30,8,0.07781325
11,30,8,0.07781325
11,30,8,0.07781325
11,30,9,0.0387995
11,30,9,0.0387995
11,30,9,0.0387995
11,30,9,0.0387995
11,30,10,0.21847762499999998
11,30,10,0.21847762499999998
11,30,10,0.21847762499999998
11,30,10,0.21847762499999998
11,30,11,0.08226225
11,30,11,0.08226225
11,30,11,0.08226225
11,30,11,0.08226225
11,30,12,0.25851962500000003
11,30,12,0.25851962500000003
11,30,12,0.25851962500000003
11,30,12,0.25851962500000003
11,30,13,0.1610575
11,30,13,0.1610575
11,30,13,0.1610575
11,30,13,0.1610575
11,30,14,0.085107
11,30,14,0.085107
11,30,14,0.085107
11,30,14,0.085107
11,30,15,0.109247875
11,30,15,0.109247875
11,30,15,0.109247875
11,30,15,0.109247875
11,30,16,0.014489499999999999
11,30,16,0.014489499999999999
11,30,16,0.014489499999999999
11,30,16,0.014489499999999999
11,30,17,0.0
11,30,17,0.0
11,30,17,0.0
11,30,17,0.0
11,30,18,0.0
11,30,18,0.0
11,30,18,0.0
11,30,18,0.0
11,30,19,0.0
11,30,19,0.0
11,30,19,0.0
11,30,19,0.0
11,30,20,0.0
11,30,20,0.0
11,30,20,0.0
11,30,20,0.0
11,30,21,0.0
11,30,21,0.0
11,30,21,0.0
11,30,21,0.0
11,30,22,0.0
11,30,22,0.0
11,30,22,0.0
11,30,22,0.0
11,30,23,0.0
11,30,23,0.0
11,30,23,0.0
11,30,23,0.0
12,1,0,0.0
12,1,0,0.0
12,1,0,0.0
12,1,0,0.0
12,1,1,0.0
12,1,1,0.0
12,1,1,0.0
12,1,1,0.0
12,1,2,0.0
12,1,2,0.0
12,1,2,0.0
12,1,2,0.0
12,1,3,0.0
12,1,3,0.0
12,1,3,0.0
12,1,3,0.0
12,1,4,0.0
12,1,4,0.0
12,1,4,0.0
12,1,4,0.0
12,1,5,0.0
12,1,5,0.0
12,1,5,0.0
12,1,5,0.0
12,1,6,0.0
12,1,6,0.0
12,1,6,0.0
12,1,6,0.0
12,1,7,0.0
12,1,7,0.0
12,1,7,0.0
12,1,7,0.0
12,1,8,0.020674875
12,1,8,0.020674875
12,1,8,0.020674875
12,1,8,0.020674875
12,1,9,0.04294725
12,1,9,0.04294725
12,1,9,0.04294725
12,1,9,0.04294725
12,1,10,0.053025625
12,1,10,0.053025625
12,1,10,0.053025625
12,1,10,0.053025625
12,1,11,0.06640587499999999
12,1,11,0.06640587499999999
12,1,11,0.06640587499999999
12,1,11,0.06640587499999999
12,1,12,0.06982062500000001
12,1,12,0.06982062500000001
12,1,12,0.06982062500000001
12,1,12,0.06982062500000001
12,1,13,0.14162475
12,1,13,0.14162475
12,1,13,0.14162475
12,1,13,0.14162475
12,1,14,0.1123965
12,1,14,0.1123965
12,1,14,0.1123965
12,1,14,0.1123965
12,1,15,0.099865625
12,1,15,0.099865625
12,1,15,0.099865625
12,1,15,0.099865625
12,1,16,0.129857625
12,1,16,0.129857625
12,1,16,0.129857625
12,1,16,0.129857625
12,1,17,0.0
12,1,17,0.0
